region,district id,district name,precinct,special precinct,possible voters,special voters,votes by 12,votes by 17,ballots signed for,num ballots,invalid votes,valid votes,logic check,logic check2,logic check,logic check2,logic check,logic check2,1 - Non-Parliamentary Opposition,2 - Armed Veterans Patriots,3 - United Opposition,5 - United National Movement,6 - Greens Party,7 - Name of the Lord,8 - Alliance of Patriots,9 - Self-governance to People,10 - Peoples Party,11 - Reformers,12 - Our Georgia,13 - Future Georgia,14 - Georgian Party,17 - Unity Hall,18 - Way of Georgia,20 - Labour Party,26 - Party of People,30 - Merab Kostava Society,36 - Labour Council,41 - Georgian Dream
,3,,53,,1451,7,213,431,558,1350,22,,,,,,,,13,,46,155,5,4,26,12,,3,,0,,,5,14,,0,0,253
,3,,54,,1329,7,198,508,628,1250,20,,,,,,,,26,,75,131,9,2,46,1,,2,,1,,,3,8,,1,1,302
,3,,55,,1549,7,177,418,543,1500,23,,,,,,,,8,,170,79,5,1,17,2,,6,,1,,,0,10,,0,0,221
,3,,56,,1577,12,142,341,493,1500,5,,,,,,,,9,,168,58,10,0,30,0,,0,,0,,,2,5,,0,1,205
,3,,57,,1450,5,174,380,487,1400,17,,,,,,,,5,,147,71,3,0,41,0,,1,,0,,,0,10,,0,0,192
,3,,58,,1464,10,109,264,373,1400,8,,,,,,,,7,,119,52,1,0,23,1,,1,,0,,,0,16,,0,1,144
,3,,59,,1637,11,164,323,458,1500,20,,,,,,,,7,,101,79,3,1,23,3,,0,,1,,,0,16,,0,0,204
,3,,60,,1405,7,159,359,450,1300,13,,,,,,,,4,,33,192,5,2,13,0,,3,,0,,,0,8,,2,1,174
,3,,61,,1430,9,148,454,575,1350,20,,,,,,,,13,,68,137,9,0,18,1,,0,,0,,,11,15,,0,3,280
,3,,62,,1374,7,160,480,628,1300,28,,,,,,,,19,,86,134,13,1,44,2,,6,,1,,,8,10,,3,1,272
,3,,63,,1449,10,187,443,558,1350,19,,,,,,,,17,,59,135,6,1,32,2,,3,,1,,,4,8,,2,1,268
,3,,64,,1300,7,207,472,611,1200,20,,,,,,,,22,,69,126,22,4,19,0,,1,,1,,,6,10,,0,2,309
,3,,65,,1339,9,141,407,532,1250,26,,,,,,,,9,,66,126,17,2,37,1,,1,,0,,,3,11,,3,0,227
,3,,66,,1344,9,134,364,494,1250,21,,,,,,,,10,,78,111,10,1,38,0,,3,,1,,,2,11,,0,0,208
,3,,67,,1063,8,105,297,378,1000,16,,,,,,,,12,,51,96,4,1,20,0,,3,,0,,,1,4,,1,0,169
,3,,68,,1568,9,155,367,455,1450,21,,,,,,,,10,,40,140,8,2,31,0,,2,,0,,,3,18,,0,0,180
