shape,common_id,common_name,Total Voter Turnout (#),Total Voter Turnout (%),Number of Precincts with Invalid Ballots from 0-1%,Number of Precincts with Invalid Ballots from 1-3%,Number of Precincts with Invalid Ballots from 3-5%,Number of Precincts with Invalid Ballots > 5%,Invalid Ballots (%),Precincts with More Ballots Than Votes (#),Precincts with More Ballots Than Votes (%),More Ballots Than Votes (Average),More Ballots Than Votes (#),Precincts with More Votes than Ballots (#),Precincts with More Votes than Ballots (%),More Votes than Ballots (Average),More Votes than Ballots (#),Average votes per minute (08:00-12:00),Average votes per minute (12:00-17:00),Average votes per minute (17:00-20:00),Number of Precincts with votes per minute > 2 (08:00-12:00),Number of Precincts with votes per minute > 2 (12:00-17:00),Number of Precincts with votes per minute > 2 (17:00-20:00),Number of Precincts with votes per minute > 2,Precincts Reported (#),Precincts Reported (%),United Opposition,United National Movement,Greens Party,Alliance of Patriots,Georgian Party,Way of Georgia,Georgian Dream
Precinct,32,49-32,450,55.01,,,,,1.96,,,,0,,,,0,0.83,0.45,0.69,,,,,,,,42.44,,,,,57.56
Precinct,33,49-33,192,63.16,,,,,1.54,,,,0,,,,0,0.42,0.22,0.16,,,,,,,,50.0,,,,,50.0
Precinct,1,52-1,402,34.84,,,,,1.23,,,,0,,,,0,0.87,0.35,0.52,,,,,,,,,,,,49.75,50.25
Precinct,2,52-2,453,44.67,,,,,2.16,,,,0,,,,0,0.88,0.54,0.51,,,,,,,,,,,,47.24,52.1
Precinct,3,52-3,436,43.6,,,,,2.68,,,,0,,,,0,0.63,0.61,0.63,,,,,,,,,,,,44.72,55.28
Precinct,4,52-4,448,40.73,,,,,2.82,,,,0,,,,0,0.86,0.55,0.5,,,,,,,,,,,,32.37,67.63
Precinct,5,52-5,446,42.68,,,,,2.19,,,,0,,,,0,0.94,0.43,0.57,,,,,,,,,,,,39.01,60.99
Precinct,6,52-6,334,35.49,,,,,2.05,,,,0,,,,0,0.47,0.6,0.27,,,,,,,,,,,,64.97,34.13
Precinct,7,52-7,219,37.18,,,,,1.35,,,,0,,,,0,0.38,0.27,0.29,,,,,,,,,,,,65.3,34.7
Precinct,8,52-8,440,45.6,,,,,1.79,,,,0,,,,0,0.79,0.47,0.64,,,,,,,,,,,,49.09,50.91
Precinct,9,52-9,508,47.79,,,,,0.97,,,,0,,,,0,0.8,0.53,0.9,,,,,,,,,,,,50.98,49.02
Precinct,10,52-10,131,44.71,,,,,1.5,,,,0,,,,0,0.35,0.1,0.1,,,,,,,,,,,,52.67,47.33
Precinct,11,52-11,236,47.58,,,,,1.67,,,,0,,,,0,0.5,0.24,0.26,,,,,,,,,,,,34.32,65.68
Precinct,12,52-12,588,42.42,,,,,1.84,,,,0,,,,0,0.85,0.76,0.92,,,,,,,,,,,,39.63,60.37
Precinct,13,52-13,334,39.02,,,,,2.62,,,,0,,,,0,0.61,0.44,0.37,,,,,,,,,,,,37.43,62.57
Precinct,14,52-14,451,45.88,,,,,0.66,,,,0,,,,0,0.73,0.52,0.68,,,,,,,,,,,,23.06,76.94
Precinct,15,52-15,596,56.6,,,,,1.16,,,,0,,,,0,1.04,0.9,0.46,,,,,,,,,,,,42.28,57.72
Precinct,16,52-16,440,44.53,,,,,3.93,,,,0,,,,0,1.05,0.37,0.53,,,,,,,,,,,,46.59,53.41
Precinct,17,52-17,229,48.52,,,,,1.72,,,,0,,,,0,0.53,0.21,0.25,,,,,,,,,,,,48.47,51.53
Precinct,18,52-18,157,50.32,,,,,1.88,,,,0,,,,0,0.36,0.18,0.11,,,,,,,,,,,,45.22,54.78
Precinct,19,52-19,148,43.92,,,,,3.9,,,,0,,,,0,0.26,0.2,0.17,,,,,,,,,,,,52.03,47.97
Precinct,20,52-20,161,58.76,,,,,4.17,,,,0,,,,0,0.4,0.18,0.1,,,,,,,,,,,,28.57,71.43
Precinct,21,52-21,159,52.48,,,,,1.85,,,,0,,,,0,0.29,0.17,0.23,,,,,,,,,,,,72.33,27.67
Precinct,22,52-22,235,40.1,,,,,1.67,,,,0,,,,0,0.25,0.27,0.55,,,,,,,,,,,,19.57,80.43
Precinct,23,52-23,333,35.39,,,,,4.31,,,,0,,,,0,0.68,0.27,0.57,,,,,,,,,,,,46.55,53.45
Precinct,24,52-24,318,39.02,,,,,2.45,,,,0,,,,0,0.53,0.42,0.41,,,,,,,,,,,,42.45,57.55
Precinct,25,52-25,321,42.35,,,,,1.83,,,,0,,,,0,0.59,0.32,0.49,,,,,,,,,,,,44.86,54.83
Precinct,26,52-26,407,50.68,,,,,1.93,,,,0,,,,0,0.53,0.69,0.46,,,,,,,,,,,,48.65,51.35
Precinct,27,52-27,318,49.69,,,,,2.15,,,,0,,,,0,0.48,0.41,0.48,,,,,,,,,,,,54.4,45.6
Precinct,28,52-28,228,44.19,,,,,2.15,,,,0,,,,0,0.38,0.36,0.18,,,,,,,,,,,,42.54,57.46
Precinct,29,52-29,350,56.54,,,,,1.13,,,,0,,,,0,0.5,0.57,0.36,,,,,,,,,,,,32.57,67.43
Precinct,30,52-30,299,47.16,,,,,1.97,,,,0,,,,0,0.56,0.42,0.25,,,,,,,,,,,,31.1,68.9
Precinct,1,55-1,834,60.22,,,,,2.23,,,,0,,,,0,1.65,0.99,0.89,,,,,,,,40.29,,,,,59.35
Precinct,2,55-2,869,63.48,,,,,1.25,,,,0,,,,0,1.73,0.89,1.11,,,,,,,,35.67,,,,,64.33
Precinct,3,55-3,885,62.54,,,,,1.99,,,,0,,,,0,1.85,0.8,1.22,,,,,,,,38.31,,,,,61.47
Precinct,4,55-4,844,61.74,,,,,1.63,,,,0,,,,0,1.08,1.23,1.27,,,,,,,,43.13,,,,,56.52
Precinct,5,55-5,579,62.33,,,,,1.7,,,,0,,,,0,1.25,0.61,0.58,,,,,,,,67.01,,,,,32.99
Precinct,6,55-6,443,66.52,,,,,1.34,,,,0,,,,0,0.88,0.53,0.45,,,,,,,,32.28,,,,,67.72
Precinct,7,55-7,616,63.7,,,,,1.91,,,,0,,,,0,1.1,0.84,0.62,,,,,,,,45.78,,,,,54.22
Precinct,8,55-8,519,63.14,,,,,1.33,,,,0,,,,0,1.09,0.5,0.63,,,,,,,,51.06,,,,,48.94
Precinct,9,55-9,196,56.0,,,,,2.0,,,,0,,,,0,0.35,0.33,0.09,,,,,,,,56.12,,,,,43.88
Precinct,10,55-10,510,62.12,,,,,2.49,,,,0,,,,0,1.04,0.58,0.56,,,,,,,,36.86,,,,,63.14
Precinct,11,55-11,205,71.93,,,,,4.21,,,,0,,,,0,0.35,0.35,0.14,,,,,,,,48.78,,,,,51.22
Precinct,12,55-12,555,62.01,,,,,1.42,,,,0,,,,0,1.2,0.48,0.74,,,,,,,,38.56,,,,,61.44
Precinct,13,55-13,228,47.21,,,,,2.98,,,,0,,,,0,0.55,0.22,0.21,,,,,,,,29.82,,,,,70.18
Precinct,14,55-14,730,54.28,,,,,2.14,,,,0,,,,0,1.22,0.78,1.22,,,,,,,,40.27,,,,,59.73
Precinct,15,55-15,159,70.98,,,,,2.45,,,,0,,,,0,0.42,0.13,0.13,,,,,,,,31.45,,,,,68.55
Precinct,16,55-16,473,70.81,,,,,1.25,,,,0,,,,0,0.94,0.5,0.58,,,,,,,,35.73,,,,,64.27
Precinct,17,55-17,525,60.34,,,,,0.94,,,,0,,,,0,0.93,0.57,0.75,,,,,,,,40.76,,,,,59.24
Precinct,18,55-18,586,66.9,,,,,0.34,,,,0,,,,0,1.02,0.75,0.66,,,,,,,,66.55,,,,,33.45
Precinct,19,55-19,220,70.51,,,,,1.35,,,,0,,,,0,0.37,0.27,0.3,,,,,,,,40.91,,,,,59.09
Precinct,20,55-20,663,59.62,,,,,1.49,,,,0,,,,0,1.38,0.59,0.92,,,,,,,,44.65,,,,,55.35
Precinct,21,55-21,333,71.31,,,,,0.89,,,,0,,,,0,0.58,0.48,0.29,,,,,,,,46.25,,,,,53.75
Precinct,22,55-22,278,69.33,,,,,0.71,,,,0,,,,0,0.61,0.36,0.14,,,,,,,,53.96,,,,,46.04
Precinct,23,55-23,58,77.33,,,,,0.0,,,,0,,,,0,0.21,0.02,0.01,,,,,,,,68.97,,,,,31.03
Precinct,24,55-24,534,53.78,,,,,1.66,,,,0,,,,0,1.01,0.65,0.58,,,,,,,,41.01,,,,,58.99
Precinct,25,55-25,79,73.83,,,,,0.0,,,,0,,,,0,0.2,0.07,0.06,,,,,,,,39.24,,,,,60.76
Precinct,26,55-26,849,61.26,,,,,2.19,,,,0,,,,0,1.77,0.85,1.04,,,,,,,,37.1,,,,,62.9
Precinct,27,55-27,756,56.97,,,,,2.45,,,,0,,,,0,1.46,0.79,1.05,,,,,,,,31.75,,,,,68.12
Precinct,28,55-28,589,62.2,,,,,2.64,,,,0,,,,0,0.91,0.82,0.78,,,,,,,,21.05,,,,,78.95
Precinct,29,55-29,414,60.61,,,,,2.36,,,,0,,,,0,0.82,0.55,0.34,,,,,,,,43.96,,,,,56.04
Precinct,1,57-1,167,37.44,,,,,1.18,,,,0,,,,0,0.44,0.16,0.08,,,,,,,30.54,,,,,,69.46
Precinct,2,57-2,526,44.58,,,,,1.13,,,,0,,,,0,1.27,0.55,0.35,,,,,,,27.95,,,,,,72.05
